Gender,Age,City,Education,Occupation,Monthly_Income,IM_Usage_period,Experience,Bank,Source,Bank_Account_Type,Usage_Time,Distance,Service,TimeSaving,Easyness,UI_Design,Network_Connectivity,Cost_effective,Availabilty,Security,Comfortable,Awareness,Usage,Aware_Charges,Charges,Satifaction,Recommendation
Male,18 - 25,Colombo,Degree,Private Employee,,More than two years,Beginner,Peoples’ bank,Friend,Saving Account,Weekly-Once,,All the above,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Yes,Okay,4,Yes
Male,18 - 25,Colombo,Degree,Private Employee,,More than two years,Beginner,Peoples’ bank,Friend,Saving Account,Weekly-Once,,All the above,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Yes,Okay,4,Yes
Male,26 - 30,Colombo,Degree,Student,"Upto 50000",More than two years,Experienced,Bank of Ceylon;Peoples’ bank,Bank,Saving Account,Monthly-once,Less than 1 km,To pay utility bills,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Yes,Not care,4,Yes
Male,31 - 40,Colombo,Degree,Private Employee,"150,001-200,000",More than two years,Experienced,Hatton National Bank,Internet,Both,Weekly-several times,Less than 1 km,To transfer money,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Yes,little high,4,Yes
Male,26 - 30,Jaffna,Degree,Student,"Upto 50000",More than two years,Experienced,Bank of Ceylon;Sampath bank;NTB,Internet,Saving Account,Weekly-several times,1 to 2 km,All the above,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Yes,Okay,4,Yes
Male,26 - 30,Jaffna,Diploma,Private Employee,"Upto 50000",More than two years,Experienced,Bank of Ceylon;NTB,Bank,Saving Account,Monthly-several times,1 to 2 km,All the above,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Yes,Not care,4,Yes
Male,26 - 30,Batticaloa,Degree,Govt Employee,"50,000- 100,000",Up to 1 year,Intermediate,Peoples’ bank;Hatton National Bank,Bank,Saving Account,Monthly-several times,Less than 1 km,To transfer money,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Disagree,Yes,Not care,4,Yes
Male,18 - 25,Batticaloa,Diploma,Govt Employee,"Upto 50000",More than two years,Experienced,Bank of Ceylon,Bank,Saving Account,Weekly-several times,Less than 1 km,All the above,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Yes,Okay,4,Yes
Male,18 - 25,Trincomalee,Degree,Private Employee,"150,001-200,000",More than two years,Experienced,Bank of Ceylon,Internet,Saving Account,Monthly-several times,2 to 5 km,All the above,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Yes,Okay,5,Yes
Male,26 - 30,Batticaloa,Degree,Student,"Upto 50000",More than two years,Intermediate,Sampath bank,Bank,Saving Account,Occasionally (less than once a month),2 to 5 km,To get an account balance update,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Not acceptable,3,Yes
Male,18 - 25,Batticaloa,Degree,Student,"Upto 50000",More than two years,Experienced,Commercial Bank,Bank,Saving Account,Occasionally (less than once a month),1 to 2 km,To get an account balance update,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,Not care,3,Yes
